,Model,Dataset,Repetition,Fold,Accuracy,F1,Recall,Precision
65,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",7,6,0.965,0.9650250378157356,0.965,0.9678656126482212
66,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",7,7,0.97,0.969855452555396,0.97,0.9719644379490928
67,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",7,8,0.965,0.9645939426427232,0.965,0.9650945545682388
68,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",7,9,0.955,0.9538063968551772,0.955,0.9558062770562772
69,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",7,10,0.91,0.9052898458131016,0.91,0.91167325428195
70,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",8,1,0.955,0.954853332375797,0.955,0.9574603174603176
71,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",8,2,0.955,0.9513122201523028,0.955,0.9649831649831648
72,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",8,3,0.975,0.9748534798534798,0.975,0.9753827751196172
73,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",8,4,0.985,0.9845748187211604,0.985,0.985714285714286
74,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",8,5,0.965,0.9650745378652356,0.965,0.9664302059496568
75,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",8,6,0.98,0.98,0.98,0.98
76,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",8,7,0.955,0.9540108320596126,0.955,0.95538445043089
77,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",8,8,0.97,0.969336098219282,0.97,0.9696324143692564
78,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",8,9,0.97,0.9699228040691455,0.97,0.9722943722943724
79,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",8,10,0.92,0.9163492578845752,0.92,0.9184682556192854
80,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",9,1,0.97,0.9698395378690629,0.97,0.9703968253968256
81,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",9,2,0.96,0.9583030262587168,0.96,0.9631469979296068
82,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",9,3,0.97,0.9694133157547792,0.97,0.9703081232492998
83,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",9,4,0.955,0.9540202605208424,0.955,0.9568969979296068
84,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",9,5,0.98,0.9799749373433584,0.98,0.980909090909091
