Model,Dataset,Repetition,Fold,Accuracy,F1,Recall,Precision
KNN,mfeat_fac,26,6,1.0,1.0,1.0,1.0
KNN,mfeat_fac,26,7,1.0,1.0,1.0,1.0
KNN,mfeat_fac,26,8,1.0,1.0,1.0,1.0
KNN,mfeat_fac,26,9,1.0,1.0,1.0,1.0
KNN,mfeat_fac,26,10,0.95,0.9496616541353384,0.95,0.9521717171717172
KNN,mfeat_fac,27,1,1.0,1.0,1.0,1.0
KNN,mfeat_fac,27,2,1.0,1.0,1.0,1.0
KNN,mfeat_fac,27,3,1.0,1.0,1.0,1.0
KNN,mfeat_fac,27,4,1.0,1.0,1.0,1.0
KNN,mfeat_fac,27,5,1.0,1.0,1.0,1.0
KNN,mfeat_fac,27,6,1.0,1.0,1.0,1.0
KNN,mfeat_fac,27,7,1.0,1.0,1.0,1.0
KNN,mfeat_fac,27,8,1.0,1.0,1.0,1.0
KNN,mfeat_fac,27,9,1.0,1.0,1.0,1.0
KNN,mfeat_fac,27,10,0.94,0.939551811047318,0.94,0.941255790992633
KNN,mfeat_fac,28,1,1.0,1.0,1.0,1.0
KNN,mfeat_fac,28,2,1.0,1.0,1.0,1.0
KNN,mfeat_fac,28,3,1.0,1.0,1.0,1.0
KNN,mfeat_fac,28,4,1.0,1.0,1.0,1.0
KNN,mfeat_fac,28,5,1.0,1.0,1.0,1.0
KNN,mfeat_fac,28,6,1.0,1.0,1.0,1.0
KNN,mfeat_fac,28,7,1.0,1.0,1.0,1.0
KNN,mfeat_fac,28,8,1.0,1.0,1.0,1.0
KNN,mfeat_fac,28,9,1.0,1.0,1.0,1.0
KNN,mfeat_fac,28,10,0.95,0.9507096091755912,0.95,0.9541165413533834
KNN,mfeat_fac,29,1,1.0,1.0,1.0,1.0
KNN,mfeat_fac,29,2,1.0,1.0,1.0,1.0
KNN,mfeat_fac,29,3,1.0,1.0,1.0,1.0
KNN,mfeat_fac,29,4,1.0,1.0,1.0,1.0
KNN,mfeat_fac,29,5,1.0,1.0,1.0,1.0
KNN,mfeat_fac,29,6,1.0,1.0,1.0,1.0
KNN,mfeat_fac,29,7,1.0,1.0,1.0,1.0
KNN,mfeat_fac,29,8,1.0,1.0,1.0,1.0
KNN,mfeat_fac,29,9,1.0,1.0,1.0,1.0
KNN,mfeat_fac,29,10,0.985,0.984971810389012,0.985,0.986147186147186
KNN,mfeat_fac,30,1,1.0,1.0,1.0,1.0
KNN,mfeat_fac,30,2,1.0,1.0,1.0,1.0
KNN,mfeat_fac,30,3,1.0,1.0,1.0,1.0
KNN,mfeat_fac,30,4,1.0,1.0,1.0,1.0
KNN,mfeat_fac,30,5,1.0,1.0,1.0,1.0
KNN,mfeat_fac,30,6,1.0,1.0,1.0,1.0
KNN,mfeat_fac,30,7,1.0,1.0,1.0,1.0
KNN,mfeat_fac,30,8,1.0,1.0,1.0,1.0
KNN,mfeat_fac,30,9,1.0,1.0,1.0,1.0
KNN,mfeat_fac,30,10,0.925,0.9244980650500548,0.925,0.9267965367965368
KNN,mfeat_fou,1,1,1.0,1.0,1.0,1.0
KNN,mfeat_fou,1,2,1.0,1.0,1.0,1.0
KNN,mfeat_fou,1,3,1.0,1.0,1.0,1.0
KNN,mfeat_fou,1,4,1.0,1.0,1.0,1.0
KNN,mfeat_fou,1,5,1.0,1.0,1.0,1.0
KNN,mfeat_fou,1,6,1.0,1.0,1.0,1.0
